"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"33186","The Crossings","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2400,2450,2425,2500,2500,2500,2400,2450,2350,2400,2400,2450,2500,2500,2500,2500,2450,2500,2500,2500,2500,2550,2500,2500,2500,2500,2479,2500,2450,2450,2487.5,2500,2550,2650,2667.5,2650,2550,2500,2500
"02155","Medford","MA","Boston-Cambridge-Newton","Middlesex County",59,,,,,,,,,,,,,,,,,,,,,,,,2700,2700,2800,2800,2800,2800,2600,2600,2600,2500,2500,2400,2400,2400,2300,2350,2700,2800,2800,2800,2700,2700,2700,2675,2500,2550,2750,2750,2800,2800,3000,2862.5,2800,2800,2800,2700,2700,3000,3000,2900,2987.5,3100,3200,3000,2795,2600,2800,2700,2650,2750,2800,2900,3000,3090,3200,3200,3000,3000,3200,3300,3200,3200,3400,3400,3375,3250,3200,3200,3200,3350,3400,3300,3200,3200,3200,3600,3500,3300,3300,3400,3600,3800
"34953","Port Saint Lucie","FL","Port St. Lucie","Saint Lucie County",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1674.5,1700,1700,1695,1650,1675,1700,1697,1700,1650,1650,1675,1685,1747.5,1700,1700,1800,1795,1750,1705,1695,1795,1695,1749,1750,1800,1779,1785,1779,1780,1765,1762.5
"33027","Miramar","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",61,2400,2400,2400,2500,2500,2472.5,2495,2495,2450,2474.5,2450,2400,2300,2300,2375,2400,2450,2500,2500,2500,2500,2450,2400,2497.5,2400,2375,2400,2495,2500,2425,2400,2400,2472.5,2400,2500,2400,2500,2500,2500,2500,2500,2600,2600,2595,2575,2495,2500,2450,2499,2595,2650,2675,2650,2662.5,2599.5,2650,2692.5,2650,2650,2692.5,2685,2712.5,2700,2575,2500,2500,2500,2600,2615,2550,2650,2625.5,2649,2671.5,2660,2678,2697,2633,2636.5,2652.5,2695,2650,2657.5,2672.5,2600,2575,2575,2600,2800,2795,2712.5,2900,2800,2900,2900,2900,2750,2700,2800,2800,2825,2850,2850,2900,2800
"30022","Johns Creek","GA","Atlanta-Sandy Springs-Roswell","Fulton County",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2180,2150,2200,2190,2200,2200,2200,2100,2095,2200,2200,2175,2050,2050,2167.5,2100,2100,2100,2175,2200,2200,2150,2100,2250,2150,2250,2200,2200,2257,2200,2300,2150
"91710","Chino","CA","Riverside-San Bernardino-Ontario","San Bernardino County",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2500,2550,2525,2595,2525,2536,2550,2625,2500,2500,2500,2500,2600,2600,2650,2600,2550,2600,2650,2550,2550,2600,2625,2650,2650,2672.5,2700,2695,2565,2615,2700,2525
"30004","Milton","GA","Atlanta-Sandy Springs-Roswell","Fulton County",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2350,2200,2200,2250,2195,2175,2200,2200,2172.5,2172.5,2197.5,2222.5,2400,2300,2400,2450,2395,2250,2140,2157.5,2375,2400,2200,2495,2350,2397.5,2395,2347.5,2250
"30127","Powder Springs","GA","Atlanta-Sandy Springs-Roswell","Cobb County",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1550,1550,1525,1572.5,1545,1572.5,1750,1727.5,1621.5,1698.5,1795,1775
"32828","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",66,,,,,,,1600,1595,1575,1400,1425,1550,1500,1525,1572.5,1550,1500,1550,1550,1500,1500,1550,1550,1500,1550,1595,1595,1595,1595,1550,1595,1675,1595,1595,1595,1595,1595,1595,1595,1595,1637.5,1650,1595,1637.5,1600,1595,1562.5,1562.5,1597,1600,1637.5,1695,1712.5,1695,1720.5,1700,1600,1600,1625,1699.5,1695,1680,1650,1625,1597.5,1695,1725,1725,1695,1600,1697.5,1650,1795,1812.5,1725,1847.5,1800,1800,1877.5,1850,1812.5,1895,1900,1849,1897.5,1862.5,1850,1950,1982.5,1900,1907.5,1995,1950,1950,1995,1975,1900,1950,1900,1985,2000,2100,2100,2010,2062.5
"94568","Dublin","CA","San Francisco-Oakland-Hayward","Alameda County",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3780,3697.5,3700,3790,3800,3662.5,3800,3800,3700,3800,3800,3700,3990,3800,3800,3800,3900,3800,3825,3900,3900,3850,3800
"89031","North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",68,,,,,1225,1250,1250,1250,1250,1200,1200,1200,1200,1200,1225,1275,1250,1200,1195,1195,1195,1200,1195,1195,1195,1199,1200,1195,1200,1212.5,1200,1200,1200,1250,1200,1195,1195,1195,1195,1195,1195,1200,1200,1200,1225,1250,1200,1200,1200,1200,1250,1250,1295,1300,1297.5,1250,1250,1275,1250,1250,1250,1250,1250,1275,1295,1300,1325,1374.5,1349,1320,1299.5,1325,1300,1325,1349.5,1375,1300,1400,1400,1400,1395,1400,1385,1350,1390,1395,1400,1450,1495,1457.5,1495,1500,1507.5,1500,1500,1550,1547.5,1550,1570,1595,1597.5,1652.5,1650,1600,1590
"30135","Douglasville","GA","Atlanta-Sandy Springs-Roswell","Douglas County",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489,1479,1525,1582,1550,1595,1540,1540,1537.5,1475,1400,1475,1500,1499.5,1481.5,1590,1595.5,1645,1607,1547.5,1522.5,1624.5,1589.5,1615,1605,1645,1700,1650,1670,1700,1662.5,1690
"93536","Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172.5,2100,2100,2125,2072.5,2095,2292,2237.5,2212.5,2200,2200,2175,2200,2185,2160,2350,2300,2287.5,2262.5
"94509","Antioch","CA","San Francisco-Oakland-Hayward","Contra Costa County",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.5,2250,2200,2200,2200,2350,2295,2350,2212.5,2250,2200,2100,2345,2400,2400,2375,2500,2400,2299,2400,2463,2450,2490,2450,2500,2500,2500,2225,2475,2500,2450,2399,2495
"60615","Chicago","IL","Chicago-Naperville-Elgin","Cook County",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2361.5,2400,2489,2500,2450,2500,2445,2215,2445,2445,2445,2445,2445,2445,2445,2445,2445,2372.5,2395,2450,2450
"89123","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1600,1617.5,1617.5,1650,1650,1675,1625,1768,1685,1700,1700,1700,1700,1700,1695,1749,1685,1850,1850,1782.5,1812.5,1795,1760,1747.5,1775,1850,1930,1872.5,1800,2030,1995,2050
